id,main,description,icon,base,visibility,dt,timezone,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,filler_0,filler_1,filler_2,main.sea_level,main.grnd_level,wind.gust,snow.1h,message,filler_3,filler_4,filler_5,filler_6,filler_7,filler_8,filler_9,filler_10,filler_11,filler_12,filler_13,filler_14,filler_15,filler_16,filler_17,filler_18,filler_19,filler_20,filler_21,filler_22,filler_23,filler_24,filler_25,filler_26,rain.1h
66,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,city not found,,,,,,,,,,,,,,,,,,,,,,,,,
67,800.0,Clear,clear sky,01n,stations,10000.0,1608737785.0,18000.0,Keti Bandar,200,67.45,24.14,-336.3303999999999,290.21,68.52200000000003,68.52200000000003,1014.0,55.0,5.05,340.0,0.0,,,PK,1608689404.0,1608727713.0,,,,1014.0,1014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,city not found,,,,,,,,,,,,,,,,,,,,,,,,,
69,501.0,Rain,moderate rain,10d,stations,10000.0,1608737785.0,-14400.0,San Matías,200,-58.4,-16.37,-323.5971999999998,300.59,75.59600000000005,75.59600000000005,1010.0,91.0,2.62,355.0,100.0,,,BO,1608715189.0,1608762356.0,,,,1010.0,996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1868
70,804.0,Clouds,overcast clouds,04n,stations,10000.0,1608737786.0,32400.0,Airai,200,125.41,-8.93,-351.97959999999983,290.09,59.82800000000007,59.82800000000007,1006.0,100.0,0.43,3.0,94.0,,,TL,1608758315.0,1608803829.0,,,,1006.0,851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,521.0,Rain,shower rain,09n,stations,10000.0,1608737786.0,14400.0,Souillac,200,57.52,-20.52,-317.8299999999999,299.64,78.8,78.8,1012.0,83.0,6.7,130.0,75.0,1.0,2061.0,MU,1608686867.0,1608735018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,804.0,Clouds,overcast clouds,04d,stations,10000.0,1608737588.0,-28800.0,San Quintín,200,-115.95,30.48,-355.09,286.2,58.1,58.1,1020.0,71.0,1.87,345.0,100.0,,,MX,1608734274.0,1608770904.0,,,,1020.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,803.0,Clouds,broken clouds,04d,stations,3000.0,1608737544.0,0.0,Southampton,200,-1.4,50.9,-369.37839999999983,280.86,48.992,51.8,1000.0,93.0,3.1,200.0,75.0,1.0,1402.0,GB,1608710817.0,1608739358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,800.0,Clear,clear sky,01d,stations,10000.0,1608737787.0,7200.0,Bredasdorp,200,20.04,-34.53,-321.07,292.23,77.0,77.0,1012.0,44.0,9.3,330.0,0.0,1.0,1966.0,ZA,1608693900.0,1608745981.0,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,804.0,Clouds,overcast clouds,04n,stations,10000.0,1608737787.0,10800.0,Kokhma,200,41.09,56.93,-429.3183999999998,259.03,16.86200000000006,16.86200000000006,1023.0,97.0,3.92,188.0,97.0,,,RU,1608702775.0,1608726998.0,,,,1023.0,1009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,800.0,Clear,clear sky,01d,stations,10000.0,1608737730.0,-21600.0,Pelham,200,-86.81,33.29,-366.1059999999999,279.34,48.2,53.99600000000005,1024.0,45.0,4.1,140.0,1.0,1.0,3965.0,US,1608727689.0,1608763497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,802.0,Clouds,scattered clouds,03d,stations,10000.0,1608737788.0,-3600.0,Ribeira Grande,200,-28.7,38.52,-356.71,280.94,57.2,57.2,1033.0,67.0,8.2,70.0,40.0,1.0,6883.0,PT,1608714590.0,1608748694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,601.0,Snow,snow,13d,stations,10000.0,1608737461.0,-18000.0,Ottawa,200,-75.7,45.41,-423.2271999999999,261.0,19.004000000000055,21.002000000000077,1027.0,73.0,3.6,140.0,75.0,1.0,872.0,CA,1608727241.0,1608758611.0,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,
79,803.0,Clouds,broken clouds,04d,stations,10000.0,1608737789.0,-10800.0,Coyhaique,200,-72.07,-45.58,-353.46999999999997,285.01,59.0,59.0,1005.0,54.0,3.1,310.0,75.0,1.0,8491.0,CL,1608713809.0,1608770300.0,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,600.0,Snow,light snow,13d,stations,2200.0,1608737789.0,-10800.0,Tasiilaq,200,-37.64,65.61,-418.27,257.77,23.0,23.0,1017.0,85.0,10.8,80.0,75.0,1.0,81.0,GL,1608728158.0,1608739418.0,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,
